REGION,ISO,COUNTRY,INDICATOR,MEASURE,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Africa,DZA,Algeria,Total Hours growth,"Growth of total hours worked, percent change",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,DZA,Algeria,Population growth,"Growth of population, percent change",,2,2,3,1,2,2,2,2,2,2,2,-1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
Africa,DZA,Algeria,Output per Employed Person growth,"Growth of Labor Productivity per person employed, percent change",,0,3,1,5,2,9,10,3,17,6,-13,-22,26,5,6,-5,9,11,9,9,-12,20,3,3,1,1,9,-5,0,-2,-1,0,1,2,2,-4,-4,-5,0,-4,-4,-1,-4,-3,-2,0,-2,2,2,1,-3,1,11,-11,3,-8,7,-4,-2,1,4,-2,-3,9,0,1,1,1
Africa,DZA,Algeria,Output per Hour Worked growth,"Growth of Labor Productivity per hour worked, percent change",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,DZA,Algeria,Per Capita Income growth,"Growth of GDP per capita, percent change",,-1,2,-1,5,1,7,9,2,16,5,-14,-20,23,2,4,-8,6,8,6,7,-11,18,0,3,4,3,6,9,6,-1,-1,3,2,2,2,-4,-3,-5,1,-4,-4,-1,-4,-3,2,2,-1,4,2,2,2,4,6,3,4,0,2,1,0,2,1,1,1,2,2,1,1,1
Africa,AGO,Angola,GDP EKS,"Total GDP, in millions of 2017 US$ (converted to 2017 price level with updated 2011 PPPs)","27,364","28,375","29,443","30,536","29,715","32,097","31,496","34,504","36,336","36,501","37,979","41,922","40,715","42,907","47,937","51,772","54,558","57,269","56,529","58,475","62,608","62,822","63,757","68,136","64,711","39,893","35,818","36,640","38,143","39,072","40,961","40,140","38,225","36,968","37,158","37,347","33,986","37,815","43,236","43,969","45,504","45,955","43,272","32,894","33,335","38,335","43,527","46,693","48,884","49,950","51,476","53,641","60,971","64,171","71,152","84,146","101,593","124,547","141,755","145,176","150,123","156,006","164,048","175,226","183,645","189,167","187,908","192,270","198,449"
Africa,AGO,Angola,Employment,Persons employed (in thousands of persons),"2,199","2,228","2,258","2,288","2,319","2,349","2,381","2,412","2,445","2,477","2,510","2,541","2,571","2,602","2,634","2,666","2,698","2,731","2,764","2,798","2,832","2,871","2,910","2,950","2,991","3,032","3,074","3,117","3,160","3,203","3,248","3,296","3,346","3,396","3,447","3,499","3,551","3,605","3,659","3,714","3,770","3,872","4,000","4,140","4,274","4,405","4,529","4,663","4,801","4,953","5,119","5,289","5,473","5,687","5,898","6,300","6,711","7,147","7,612","8,113","8,634","9,196","9,535","9,889","10,254","10,630","10,954","11,294","11,655"
Africa,AGO,Angola,Average Hours Worked,Annual hours worked per worker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,AGO,Angola,Total Hours,Total annual hours worked (in millions of hours worked),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,AGO,Angola,Population,Midyear population (in thousands of persons),"4,118","4,173","4,232","4,294","4,358","4,423","4,491","4,561","4,636","4,715","4,797","4,752","4,826","4,920","5,026","5,135","5,201","5,247","5,350","5,472","5,606","5,753","5,895","6,026","5,987","5,885","5,943","6,164","6,287","6,453","6,743","6,880","7,019","7,241","7,442","7,585","7,749","7,878","8,023","8,154","8,297","8,587","8,899","9,242","9,601","9,964","10,313","10,651","10,990","11,334","11,676","12,030","12,443","12,936","13,480","14,012","14,535","15,083","15,658","16,260","16,884","17,524","18,202","18,907","19,623","20,353","21,097","21,858","22,638"
Africa,AGO,Angola,Output per Employed Person,Labor productivity per person employed in 2017 US$ (converted to 2017 price level with updated 2011 PPPs),"12,444","12,734","13,039","13,346","12,816","13,661","13,230","14,303","14,864","14,735","15,131","16,501","15,834","16,487","18,199","19,420","20,220","20,970","20,451","20,902","22,111","21,885","21,908","23,094","21,635","13,156","11,651","11,756","12,072","12,197","12,613","12,177","11,425","10,886","10,780","10,674","9,570","10,490","11,817","11,839","12,071","11,869","10,818","7,945","7,799","8,703","9,611","10,014","10,182","10,085","10,056","10,142","11,140","11,284","12,064","13,356","15,138","17,426","18,623","17,894","17,387","16,964","17,205","17,719","17,910","17,796","17,154","17,024","17,027"
Africa,AGO,Angola,Output per Hour Worked,Labor productivity per hour worked in 2017 US$ (converted to 2017 price level with updated 2011 PPPs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,AGO,Angola,Per Capita Income,GDP per capita in 2017 US$ (converted to 2017 price level with updated 2011 PPPs),"6,646","6,800","6,957","7,112","6,819","7,256","7,013","7,564","7,838","7,742","7,917","8,821","8,437","8,722","9,538","10,082","10,489","10,914","10,565","10,687","11,169","10,920","10,815","11,306","10,808","6,778","6,026","5,944","6,067","6,055","6,075","5,835","5,446","5,106","4,993","4,924","4,386","4,800","5,389","5,392","5,485","5,352","4,863","3,559","3,472","3,847","4,221","4,384","4,448","4,407","4,409","4,459","4,900","4,961","5,278","6,005","6,990","8,257","9,053","8,928","8,891","8,902","9,013","9,268","9,358","9,294","8,907","8,796","8,766"
Africa,AGO,Angola,GDP growth,"Growth of GDP, percent change",,4,4,4,-3,8,-2,10,5,0,4,10,-3,5,12,8,5,5,-1,3,7,0,1,7,-5,-38,-10,2,4,2,5,-2,-5,-3,1,1,-9,11,14,2,3,1,-6,-24,1,15,14,7,5,2,3,4,14,5,11,18,21,23,14,2,3,4,5,7,5,3,-1,2,3
Africa,AGO,Angola,Employment growth,"Growth of employment, percent change",,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,7,7,6,7,7,6,7,4,4,4,4,3,3,3
Africa,AGO,Angola,Total Hours growth,"Growth of total hours worked, percent change",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,AGO,Angola,Population growth,"Growth of population, percent change",,1,1,1,1,2,2,2,2,2,2,-1,2,2,2,2,1,1,2,2,2,3,2,2,-1,-2,1,4,2,3,5,2,2,3,3,2,2,2,2,2,2,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Africa,AGO,Angola,Output per Employed Person growth,"Growth of Labor Productivity per person employed, percent change",,2,2,2,-4,7,-3,8,4,-1,3,9,-4,4,10,7,4,4,-2,2,6,-1,0,5,-6,-39,-11,1,3,1,3,-3,-6,-5,-1,-1,-10,10,13,0,2,-2,-9,-27,-2,12,10,4,2,-1,0,1,10,1,7,11,13,15,7,-4,-3,-2,1,3,1,-1,-4,-1,0
Africa,AGO,Angola,Output per Hour Worked growth,"Growth of Labor Productivity per hour worked, percent change",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,AGO,Angola,Per Capita Income growth,"Growth of GDP per capita, percent change",,2,2,2,-4,6,-3,8,4,-1,2,11,-4,3,9,6,4,4,-3,1,5,-2,-1,5,-4,-37,-11,-1,2,0,0,-4,-7,-6,-2,-1,-11,9,12,0,2,-2,-9,-27,-2,11,10,4,1,-1,0,1,10,1,6,14,16,18,10,-1,0,0,1,3,1,-1,-4,-1,0
Africa,BFA,Burkina Faso,GDP EKS,"Total GDP, in millions of 2017 US$ (converted to 2017 price level with updated 2011 PPPs)","2,494","2,588","2,683","2,780","2,883","2,990","3,102","3,214","3,337","3,456","3,558","3,701","3,928","3,878","3,967","4,120","4,140","4,504","4,643","4,735","4,745","4,932","5,132","4,860","4,768","4,563","4,519","4,838","5,401","5,456","5,546","5,790","5,917","5,850","5,945","6,723","7,778","7,646","8,281","8,187","8,107","8,842","8,863","9,170","9,290","9,821","10,903","11,592","12,439","13,351","13,603","14,502","15,133","16,315","17,046","18,523","19,681","20,489","21,678","22,320","24,205","25,809","27,474","29,029","30,243","31,463","33,311","36,102","39,025"
Africa,BFA,Burkina Faso,Employment,Persons employed (in thousands of persons),"2,309","2,339","2,368","2,398","2,428","2,459","2,490","2,522","2,554","2,586","2,619","2,619","2,620","2,621","2,622","2,623","2,624","2,625","2,626","2,627","2,627","2,654","2,680","2,707","2,734","2,761","2,789","2,817","2,845","2,873","2,902","2,968","3,036","3,106","3,177","3,249","3,329","3,419","3,519","3,629","3,736","3,859","3,938","4,022","4,111","4,206","4,290","4,382","4,479","4,576","4,676","4,766","4,861","4,960","5,036","5,112","5,302","5,361","5,451","5,541","5,631","5,711","5,791","5,872","5,947","6,145","6,353","6,554","6,762"
Africa,BFA,Burkina Faso,Average Hours Worked,Annual hours worked per worker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,BFA,Burkina Faso,Total Hours,Total annual hours worked (in millions of hours worked),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,BFA,Burkina Faso,Population,Midyear population (in thousands of persons),"4,376","4,423","4,470","4,518","4,566","4,614","4,664","4,713","4,764","4,814","4,866","4,891","4,920","4,953","4,990","5,032","5,077","5,128","5,183","5,243","5,304","5,366","5,434","5,508","5,587","5,673","5,765","5,891","6,026","6,168","6,318","6,474","6,637","6,807","6,985","7,171","7,371","7,592","7,833","8,092","8,361","8,642","8,935","9,238","9,571","9,903","10,220","10,543","10,873","11,225","11,588","12,039","12,585","13,065","13,478","13,904","14,344","14,797","15,265","15,746","16,242","16,751","17,275","17,813","18,365","18,932","19,513","20,108","20,717"
Africa,BFA,Burkina Faso,Output per Employed Person,Labor productivity per person employed in 2017 US$ (converted to 2017 price level with updated 2011 PPPs),"1,080","1,107","1,133","1,159","1,187","1,216","1,246","1,275","1,307","1,337","1,359","1,413","1,499","1,479","1,513","1,571","1,578","1,716","1,768","1,803","1,806","1,859","1,915","1,795","1,744","1,653","1,620","1,718","1,899","1,899","1,911","1,951","1,949","1,884","1,871","2,069","2,336","2,236","2,353","2,256","2,170","2,291","2,251","2,280","2,260","2,335","2,541","2,645","2,777","2,918","2,909","3,043","3,113","3,289","3,385","3,623","3,712","3,822","3,977","4,028","4,298","4,519","4,744","4,944","5,085","5,120","5,243","5,508","5,771"
Africa,BFA,Burkina Faso,Output per Hour Worked,Labor productivity per hour worked in 2017 US$ (converted to 2017 price level with updated 2011 PPPs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,BFA,Burkina Faso,Per Capita Income,GDP per capita in 2017 US$ (converted to 2017 price level with updated 2011 PPPs),570,585,600,615,631,648,665,682,700,718,731,757,798,783,795,819,815,878,896,903,895,919,944,882,853,804,784,821,896,885,878,894,892,859,851,938,"1,055","1,007","1,057","1,012",970,"1,023",992,993,971,992,"1,067","1,100","1,144","1,189","1,174","1,205","1,202","1,249","1,265","1,332","1,372","1,385","1,420","1,417","1,490","1,541","1,590","1,630","1,647","1,662","1,707","1,795","1,884"
Africa,BFA,Burkina Faso,GDP growth,"Growth of GDP, percent change",,4,4,4,4,4,4,4,4,4,3,4,6,-1,2,4,0,9,3,2,0,4,4,-5,-2,-4,-1,7,12,1,2,4,2,-1,2,13,16,-2,8,-1,-1,9,0,3,1,6,11,6,7,7,2,7,4,8,4,9,6,4,6,3,8,7,6,6,4,4,6,8,8
Africa,BFA,Burkina Faso,Employment growth,"Growth of employment, percent change",,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,1,2,2,2,1,1,1,1,3,3,3,3
Africa,BFA,Burkina Faso,Total Hours growth,"Growth of total hours worked, percent change",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,BFA,Burkina Faso,Population growth,"Growth of population, percent change",,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Africa,BFA,Burkina Faso,Output per Employed Person growth,"Growth of Labor Productivity per person employed, percent change",,3,2,2,2,2,2,2,3,2,2,4,6,-1,2,4,0,9,3,2,0,3,3,-6,-3,-5,-2,6,11,0,1,2,0,-3,-1,11,13,-4,5,-4,-4,6,-2,1,-1,3,9,4,5,5,0,5,2,6,3,7,2,3,4,1,7,5,5,4,3,1,2,5,5
Africa,BFA,Burkina Faso,Output per Hour Worked growth,"Growth of Labor Productivity per hour worked, percent change",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,BFA,Burkina Faso,Per Capita Income growth,"Growth of GDP per capita, percent change",,3,3,3,3,3,3,3,3,2,2,3,6,-2,2,3,0,8,2,1,-1,3,3,-7,-3,-6,-3,5,9,-1,-1,2,0,-4,-1,10,13,-5,5,-4,-4,6,-3,0,-2,2,8,3,4,4,-1,3,0,4,1,5,3,1,3,0,5,3,3,2,1,1,3,5,5
Africa,CMR,Cameroon,GDP EKS,"Total GDP, in millions of 2017 US$ (converted to 2017 price level with updated 2011 PPPs)","8,314","8,621","8,937","9,262","9,602","9,960","10,326","10,708","11,107","11,515","11,830","11,972","12,338","12,795","13,252","13,518","14,150","14,541","15,489","16,253","16,744","17,243","17,991","18,257","19,072","20,053","20,435","21,599","22,780","24,018","26,471","30,985","33,330","35,666","38,460","41,901","44,928","42,691","40,746","37,096","36,489","35,116","34,045","32,969","32,147","33,209","34,840","36,692","38,488","40,051","41,723","43,607","45,355","47,183","48,930","50,053","51,666","53,349","54,888","55,948","57,777","60,169","62,936","66,431","70,367","74,424","77,901","81,308","84,785"
Africa,CMR,Cameroon,Employment,Persons employed (in thousands of persons),"2,271","2,295","2,320","2,345","2,371","2,396","2,422","2,449","2,475","2,502","2,529","2,559","2,589","2,619","2,650","2,681","2,712","2,744","2,776","2,808","2,841","2,892","2,944","2,996","3,050","3,104","3,160","3,216","3,273","3,332","3,391","3,463","3,536","3,611","3,687","3,765","3,906","4,048","4,190","4,337","4,468","4,624","4,753","4,888","5,026","5,167","5,303","5,453","5,609","5,774","5,946","6,114","6,342","6,583","6,836","7,075","7,343","7,613","7,817","8,027","8,222","8,440","8,665","8,898","9,212","9,485","9,761","10,053","10,357"
Africa,CMR,Cameroon,Average Hours Worked,Annual hours worked per worker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,CMR,Cameroon,Total Hours,Total annual hours worked (in millions of hours worked),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,CMR,Cameroon,Population,Midyear population (in thousands of persons),"4,888","4,947","5,009","5,074","5,141","5,211","5,284","5,360","5,439","5,522","5,609","5,699","5,794","5,892","5,996","6,104","6,217","6,336","6,460","6,590","6,727","6,870","7,021","7,179","7,346","7,522","7,721","7,962","8,213","8,462","8,762","9,048","9,283","9,563","9,867","10,191","10,530","10,867","11,201","11,540","11,884","12,240","12,598","12,964","13,336","13,714","14,097","14,486","14,882","15,281","15,688","16,109","16,558","17,023","17,496","17,982","18,475","18,995","19,543","20,096","20,651","21,206","21,770","22,349","22,940","23,544","24,160","24,789","25,430"
Africa,CMR,Cameroon,Output per Employed Person,Labor productivity per person employed in 2017 US$ (converted to 2017 price level with updated 2011 PPPs),"3,662","3,756","3,852","3,949","4,051","4,156","4,263","4,373","4,487","4,602","4,678","4,679","4,766","4,885","5,002","5,043","5,218","5,300","5,580","5,788","5,893","5,962","6,112","6,094","6,254","6,460","6,468","6,716","6,959","7,209","7,805","8,948","9,426","9,878","10,431","11,130","11,502","10,547","9,724","8,554","8,166","7,594","7,163","6,745","6,396","6,427","6,570","6,729","6,862","6,937","7,017","7,132","7,151","7,167","7,158","7,075","7,036","7,008","7,022","6,970","7,027","7,129","7,263","7,466","7,639","7,847","7,981","8,088","8,186"
Africa,CMR,Cameroon,Output per Hour Worked,Labor productivity per hour worked in 2017 US$ (converted to 2017 price level with updated 2011 PPPs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,CMR,Cameroon,Per Capita Income,GDP per capita in 2017 US$ (converted to 2017 price level with updated 2011 PPPs),"1,701","1,743","1,784","1,825","1,868","1,911","1,954","1,998","2,042","2,085","2,109","2,101","2,130","2,171","2,210","2,215","2,276","2,295","2,398","2,466","2,489","2,510","2,562","2,543","2,596","2,666","2,647","2,713","2,774","2,838","3,021","3,425","3,591","3,730","3,898","4,111","4,267","3,928","3,638","3,215","3,070","2,869","2,702","2,543","2,410","2,422","2,471","2,533","2,586","2,621","2,660","2,707","2,739","2,772","2,797","2,784","2,797","2,809","2,809","2,784","2,798","2,837","2,891","2,972","3,067","3,161","3,224","3,280","3,334"
Africa,CMR,Cameroon,GDP growth,"Growth of GDP, percent change",,4,4,4,4,4,4,4,4,4,3,1,3,4,4,2,5,3,7,5,3,3,4,1,4,5,2,6,5,5,10,17,8,7,8,9,7,-5,-5,-9,-2,-4,-3,-3,-2,3,5,5,5,4,4,5,4,4,4,2,3,3,3,2,3,4,5,6,6,6,5,4,4
Africa,CMR,Cameroon,Employment growth,"Growth of employment, percent change",,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,4,4,3,3,2,3,3,3,4,3,3,3,3
Africa,CMR,Cameroon,Total Hours growth,"Growth of total hours worked, percent change",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,CMR,Cameroon,Population growth,"Growth of population, percent change",,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Africa,CMR,Cameroon,Output per Employed Person growth,"Growth of Labor Productivity per person employed, percent change",,3,3,3,3,3,3,3,3,3,2,0,2,3,2,1,3,2,5,4,2,1,3,0,3,3,0,4,4,4,8,15,5,5,6,7,3,-8,-8,-12,-5,-7,-6,-6,-5,0,2,2,2,1,1,2,0,0,0,-1,-1,0,0,-1,1,1,2,3,2,3,2,1,1
Africa,CMR,Cameroon,Output per Hour Worked growth,"Growth of Labor Productivity per hour worked, percent change",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,CMR,Cameroon,Per Capita Income growth,"Growth of GDP per capita, percent change",,2,2,2,2,2,2,2,2,2,1,0,1,2,2,0,3,1,4,3,1,1,2,-1,2,3,-1,2,2,2,6,13,5,4,5,5,4,-8,-7,-12,-4,-7,-6,-6,-5,0,2,2,2,1,1,2,1,1,1,0,0,0,0,-1,0,1,2,3,3,3,2,2,2
Africa,CIV,C_te d'Ivoire,GDP EKS,"Total GDP, in millions of 2017 US$ (converted to 2017 price level with updated 2011 PPPs)","7,843","8,133","8,431","8,737","9,059","9,396","9,741","10,102","10,479","10,863","11,835","12,941","13,514","15,734","18,549","18,141","19,577","19,859","22,957","23,969","26,573","27,906","29,451","31,781","32,698","32,667","36,581","38,306","42,102","42,895","46,204","47,820","47,914","46,048","44,526","46,714","48,110","47,342","46,487","46,212","43,020","43,037","42,930","42,852","42,926","45,318","49,004","51,809","54,363","55,243","54,100","54,166","53,262","52,538","53,185","54,101","54,921","55,890","57,312","59,175","60,369","57,834","63,677","69,581","75,700","82,470","88,830","95,286","103,016"
Africa,CIV,C_te d'Ivoire,Employment,Persons employed (in thousands of persons),"1,096","1,119","1,141","1,164","1,188","1,212","1,236","1,261","1,287","1,313","1,340","1,394","1,451","1,510","1,572","1,636","1,702","1,772","1,844","1,919","1,998","2,078","2,162","2,249","2,339","2,433","2,531","2,633","2,739","2,850","2,964","3,055","3,148","3,244","3,343","3,446","3,551","3,659","3,771","3,915","4,099","4,293","4,449","4,642","4,839","5,070","5,221","5,352","5,711","5,839","5,958","6,032","6,096","6,158","6,219","6,286","6,371","6,461","6,560","6,668","6,783","6,911","7,049","7,196","7,348","7,504","7,649","7,855","8,068"
Africa,CIV,C_te d'Ivoire,Average Hours Worked,Annual hours worked per worker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,CIV,C_te d'Ivoire,Total Hours,Total annual hours worked (in millions of hours worked),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
